Song Title,Artist,Year,Genre
Hotline Bling,Drake,2015,R&B
Creep,Radiohead,1992,Alternative
All of Me,John Legend,2013,R&B1
My Heart Will Go On,Celine Dion,1997,Pop
River Flows in You,Yiruma,2011,Instrumental
Beauty and the Beast,Disney,1991,Soundtrack
A Whole New World,Disney,1992,Soundtrack1
Let it Go,Disney,2013,Soundtrack2
Hello,Adele,2014,Soul
Someone Like You,Adele,2011,Soul1
Wish You Were Here,Pink Floyd,1975,Rock
Yesterday,The Beatles,1965,Pop1
Eleanor R,The Beatles,1966,Pop2
Hey Jude,The Beatles,1968,Rock1
Don't Look Back in Anger,Oasis,1996,Pop3
Wonderwall,Oasis,1995,Pop4
Clocks,Coldplay,2003,Rock2
Viva La Vida,Coldplay,2008,Pop5
Snow,Red Hot Chili Peppers,2006,Rock3
Smooth,Santana,1999,Rock4
Careless Whisper,Wham!,1984,Jazz
Freebird,Lynyrd Skynyrd,1974,Rock5
Tuesday's Gone,Lynyrd Skynyrd,1973,Rock6
Hotel California,The Eagles,1977,Rock7
Master of Puppets,Metallica,1986,Metal
Fade to Black,Metallica,1984,Metal1
La La Land,City of Stars,2016,Soundtrack3
November Rain,Guns n Roses,1992,Rock8
Stairway to Heaven,Led Zeppelin,1971,Rock9
Bohemian Rhapsody,Queen,1975,Rock10
Don't Stop Me Now,Queen,1979,Rock11
Tiny Dancer,Elton John,1972,Pop6
Piano Man,Billie Joel,1973,Rock12
People are Strange,The Doors,1967,Rock13
